path,artist_name,song_name,features,features11
folder5/Khaoula hsein - Hob Kbir  (EXCLUSIVE Lyric Clip) ｜ 2018 ｜ (خولة حسين - حب كبير  (حصريأ [NIKxtgX-cBA].mp3,Khaoula hsein ,folder5/Khaoula hsein ,"[0.3619565, 2616.267400123053, 2464.0767028600244, 5438.76533971089, 21.90771458799737, 0.20088511086457206, 0.534783, 0.2670977, 12.52231, 0.78510064, 3.1557958681880702, -0.012709784467401123, 0.2229433, 0.14401990867363518]",
folder5/Ibrahem Al Amer – Yl3n Al Heniya (Exclusive) ｜ابراهيم الامير  - يلعن الحني (حصريا) ｜2018 [mHuzUhxLNrI].mp3,Ibrahem Al Amer – Yl3n Al Heniya (Exclusive) ｜ابراهيم الامير  ,folder5/Ibrahem Al Amer – Yl3n Al Heniya (Exclusive) ｜ابراهيم الامير  ,"[0.33661616, 2726.175549853237, 2373.6994236588957, 5365.33874564839, 21.15273943448553, 0.18007151455206474, 0.53250474, 0.27291253, 14.311244, -0.61539185, 3.7747969710663623, 0.0040879711123385076, 0.26202655, 0.16257909957934435]",
folder5/Inkonnu - Inko ( Officiel Music Video ) [pV4fUp3cHYw].mp3,Inkonnu ,folder5/Inkonnu ,"[0.36295682, 2672.641085564103, 2561.2979319217416, 5809.282607884909, 21.022440791862913, 0.21525906544547885, 0.49723256, 0.2590251, 2.3972197, -3.6790624, 1.3355994405784541, -0.011052757945252232, 0.0987965, 0.13513008122586354]",
folder5/Klay ft. Sanfara - E7tilel ｜ إحتلال [p6zbi_gwECQ].mp3,Klay ft. Sanfara ,folder5/Klay ft. Sanfara ,"[0.41918826, 2878.6489183615863, 2571.133242096257, 5829.780573131082, 20.775563593987247, 0.21657317701986192, 0.5583131, 0.26920936, 3.7756796, -0.15238021, 1.6034426717230763, 0.00044490542754971774, 0.11608246, 0.1570182389127994]",
folder5/Karaheny Feki - Tamer Ashour (EXCLUSIVE ) ｜ 2018 ｜ ( ًكرهينى فيكى - تامر عاشور(حصريا [i5JYWDdXycM].mp3,Karaheny Feki ,folder5/Karaheny Feki ,"[0.41606265, 2292.9161739083925, 2355.8594271258044, 4887.756871165058, 21.35976280867643, 0.21071280096820263, 0.59750974, 0.2729956, 8.2138815, 0.9903402, 2.558079495622528, -0.0011536446876188277, 0.17298616, 0.12827437167001485]",
folder5/L7OR - KHALIWNI (Official Music Video 2018) [4b7jvmgCfIo].mp3,L7OR ,folder5/L7OR ,"[0.3731704, 2129.729483448749, 2230.3833896887027, 4431.380637872236, 20.93935778026173, 0.1750833399788257, 0.48875332, 0.25871128, 10.576589, -0.97727454, 2.2556752372503492, -0.0011418289765949955, 0.17676431, 0.10069734673432794]",
folder5/ILY - Khelouni ( Official Music Video ) [Gd_70kdfZXw].mp3,ILY ,folder5/ILY ,"[0.41520923, 2741.004393191708, 2502.4111261170833, 5631.7281082725485, 20.598423045638405, 0.18537675554757957, 0.49055722, 0.25397232, 23.212294, 5.7672095, 4.382672656990659, -0.002360415599523295, 0.30091956, 0.14993684953613823]",
folder5/IYAN - Niyalou Albi (Acoustic Version) - [Official Music Video] [xBzVxzZMxWc].mp3,IYAN ,folder5/IYAN ,"[0.31458828, 2262.416528126834, 2085.6457796042014, 4411.0611578502385, 21.806511703228605, 0.2507578964014701, 0.5145473, 0.26693088, 8.382287, -1.1338109, 2.903000808979755, 0.0019711891760638904, 0.1899812, 0.13755957802339758]",
"folder5/Flenn - Mafikch Niya, Beat by Diias [vDXJCmRxavc].mp3",Flenn ,folder5/Flenn ,"[0.41914356, 2818.1669543985267, 2376.482605156892, 5559.178367820946, 20.97563745246481, 0.16696662333135653, 0.5588209, 0.2724319, 9.93693, 0.04746789, 3.179957447197289, 0.007624795760883927, 0.204654, 0.16521255840103496]",
folder5/Lbenj - Soso (Prod. Karim LOUKILI) [apEkHgEohz4].mp3,Lbenj ,folder5/Lbenj ,"[0.416638, 2318.884366361152, 2405.380927094198, 4941.4834780997235, 20.557137847465256, 0.17889824753379716, 0.4451612, 0.2576339, 16.706263, 3.947513, 3.3424364851896904, -0.01241679556512312, 0.25219154, 0.09608849520637333]",
folder5/Lbenj feat. RJ - Wow (Prod. Karim LOUKILI) [A4r4J_7MVh8].mp3,Lbenj feat. RJ ,folder5/Lbenj feat. RJ ,"[0.39533392, 2123.8503879784553, 2260.1796119795745, 4322.201462033976, 21.005627604853277, 0.18659590591132358, 0.49735606, 0.25689098, 15.969711, 4.057707, 3.37233935091404, 0.005276160460001812, 0.24550585, 0.0927300740541459]",
folder5/Kiani - I’ll Fly Away FIFA 2022 World Cup (Official Music Video) [hUCtYBw6oYo].mp3,Kiani ,folder5/Kiani ,"[0.40366587, 2824.437842618629, 2502.873726582333, 5791.134384811676, 20.459508897069085, 0.23501100378518205, 0.58349055, 0.27218223, 14.843251, 2.863878, 4.4012394776041335, 0.007991756004142762, 0.265388, 0.16570172655422963]",
folder5/Kafon  - Nheb Ngualaa ｜ نحب نڨلع  (Official Music Video) [ApPZrXzRaHM].mp3,Kafon  ,folder5/Kafon  ,"[0.3824807, 2635.4935696236657, 2334.334228702806, 5198.6284165901325, 21.0692135746317, 0.161033727703034, 0.54828966, 0.27314013, 13.316474, -1.7573268, 2.8528238483564885, -0.005918796768075631, 0.2182062, 0.15717956417639886]",
folder5/Farah Chreim - Albi Elou [Official Lyric Video] (2022) ⧸ فرح شريم - قلبي الو [XiL2F84vOw0].mp3,Farah Chreim ,folder5/Farah Chreim ,"[0.37842718, 2631.8531195685446, 2533.186497310806, 5592.855104528138, 21.381851385863385, 0.17081414258704405, 0.55266446, 0.26959285, 8.738778, 1.3523039, 2.9052258424915314, 0.0046448704806949185, 0.19544931, 0.13374904524366324]",
folder5/Karim Kamel - Mazal (EXCLUSIVE) ｜ 2018 ｜ (كريم كامل - مازال (حصرياً [lGo0c1Dn7Ts].mp3,Karim Kamel ,folder5/Karim Kamel ,"[0.3983617, 2451.956081763858, 2546.614323304873, 5410.317650113239, 20.8495414576074, 0.17328599204176698, 0.5890801, 0.27493832, 11.551372, 3.6516707, 2.8944476298465727, -0.0022472054163683477, 0.20857286, 0.11382098329544416]",
folder5/Ilham Karaoui - Boss ｜  الهام قروي  (Exclusive Music Video 2018) [R73asSbfcas].mp3,Ilham Karaoui ,folder5/Ilham Karaoui ,"[0.37176993, 2786.4354368777986, 2649.862134270631, 6063.5222504692065, 21.573531999382357, 0.17382175795028645, 0.5342824, 0.27176347, 16.931995, 2.4554584, 3.7054214854581575, 0.0022579475042115334, 0.26602903, 0.14254996740466383]",
